file,map.name,map.path,map.scale,map.load_time,vis_radius,robustness_radius,robustness_angle,robustness_dist,sample_arc_edges_angle,sample_arc_edges_dist,rob_radius,vis.mesh_type,vis.bucket_size,vis.buckets_optimized,vis.time_mesh,"vis.time_fill_bucketing ",vis.time_optimize_buckets,vis.time_total,vis_graph_reflex.n_nodes,vis_graph_reflex.n_reflex,vis_graph_reflex.n_convex,vis_graph_reflex.time_reflex_vertices,vis_graph_reflex.time_vis_graph_reflex_reflex,vis_graph_reflex.time_vis_graph_reflex_reflex_to_bool,vis_graph_reflex.time_reflex_graph,vis_graph_reflex.time_vis_planner,vis_graph_reflex.time_total,target_regions.min_coverage_ratio,target_regions.cnt,target_regions.area,target_regions.map_coverage,target_regions.time,target_regions_bucketing.bucket_ratio_in,target_regions_bucketing.bucket_size_in,target_regions_bucketing.bucket_ratio_real,target_regions_bucketing.bucket_size_real,target_regions_bucketing.bucket_cnt,target_regions_bucketing.time,weight_regions.cnt,weight_regions.time,weight_regions_bucketing.bucket_ratio_in,weight_regions_bucketing.bucket_size_in,weight_regions_bucketing.time,route_cyclic,guards_1.method,guards_1.param.ka_ordering,guards_1.param.ka_selection_rule,guards_1.n_orig,guards_1.n_new,guards_1.n_diff,guards_1.time_generate,guards_1.time_postprocess,guards_1.time_rest,guards_1.time_total,guards_1.coverage.coverage_ratio,guards_1.coverage.covered_ratio,guards_1.coverage.left_to_cover,guards_1.coverage.uncovered_area,guards_2.method,guards_2.param.reflex_tolerance,guards_2.param.reflex_dist_from_vertex,guards_2.n_orig,guards_2.n_new,guards_2.n_diff,guards_2.time_generate,guards_2.time_postprocess,guards_2.time_rest,guards_2.time_total,guards_2.coverage.coverage_ratio,guards_2.coverage.covered_ratio,guards_2.coverage.left_to_cover,guards_2.coverage.uncovered_area,process_coverage.filtering.n_prior_filtering,process_coverage.filtering.n_after_filtering,process_coverage.filtering.n_filtered,process_coverage.filtering.regions_n_buckets_avg,process_coverage.filtering.time_bucketing_coverage_avg,process_coverage.filtering.time_filtering_avg,process_coverage.filtering.time_bucketing_coverage,process_coverage.filtering.time_filtering,process_coverage.filtered,process_coverage.n_prior_filtering,process_coverage.n_after_filtering,process_coverage.n_filtered,process_coverage.coverage_ratio,process_coverage.covered_ratio,process_coverage.left_to_cover,process_coverage.uncovered_area,process_coverage.time,apply_filter_time,time_get_cities,vis_graph_cities.n_cities,vis_graph_cities.time_save_cities,vis_graph_cities.time_vis_graph_city_reflex,vis_graph_cities.time_vis_graph_city_reflex_to_bool,vis_graph_cities.time_vis_graph_city_city,vis_graph_cities.time_vis_graph_city_city_to_bool,vis_graph_cities.time_total,agp_n,agp_time,method,dual_samp,filtered,bucketed,method_full,method_type,filtered_bucketed
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_6400cm/robustness_40cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0062773110000000007,64,0.40000000000000002,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0064058170000000003,0.0068308970000000007,1.73e-07,0.013236886999999999,3462,2393,1069,0.00025620500000000002,0.0075635010000000003,0.00045325000000000004,0.0049730450000000006,0.00085455200000000007,0.014100553000000002,0.999,1,99652.931563928272,0.99999999999999956,0.0042566850000000005,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00055396999999999998,1,2.3991000000000001e-05,0.10000000000000001,nan,0.00048791100000000005,true,ka,ears_small,best,0,1676,1676,0.0044628740000000004,0.52161298900000008,0.072323770999999981,0.59839963400000007,0.999,0.999971799433515,0,2.8102691237872781,reflex,0,0,1676,4069,2393,0.0010513180000000001,0.71054639900000005,0.12335553999999993,0.834953257,0.999,0.9999903595155325,0,0.96070253950142104,4069,341,3728,4.2509216023593019,0.00011211106291472108,0.0034956111202346044,0.45617991500000005,1.1920033920000002,true,4069,341,3728,0.999,0.99900735411161301,0,98.920072845876447,1.650039786,0.0016019900000000002,3.3016000000000004e-05,341,0.00017268200000000001,0.001637,0.00015050900000000001,0.0060911130000000004,1.8604e-05,0.0080699080000000006,341,3.1014402190000001,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_6400cm/robustness_160cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0064001220000000003,64,1.6000000000000001,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0064343210000000007,0.0065766090000000006,1.73e-07,0.013011103,3462,2393,1069,0.00023195000000000003,0.0077344140000000002,0.00042470400000000003,0.0047693969999999999,0.00083081700000000008,0.013991281999999999,0.999,1,99652.931563928272,0.99999999999999956,0.0040372560000000004,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00054689000000000007,1,2.4416000000000001e-05,0.10000000000000001,nan,0.00053028100000000007,true,ka,ears_small,best,0,1676,1676,0.0044200950000000006,1.6897874430000002,0.076045460000000009,1.7702529980000001,0.999,0.99853839505263564,0.00046160494736435798,145.65321788631206,reflex,0,0,1676,4069,2393,0.0010494440000000001,2.4066588770000004,0.141652149,2.5493604700000003,0.999,0.99898593181060236,1.4068189397642428e-05,101.05486794380349,4069,2880,1189,3.61587613664291,8.8691728680265428e-05,0.0012110646538194445,0.36088664400000003,3.4878662030000003,true,4069,2880,1189,0.999,0.99898593148632719,1.4068513672804706e-05,101.05490025876958,3.8504120580000003,0.0043518790000000003,3.4709000000000003e-05,2880,0.00088681700000000003,0.011593906000000001,0.00046575500000000004,0.280960186,0.00038379000000000001,0.29429045399999998,2880,8.187620775000001,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_6400cm/robustness_0cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0061705780000000003,64,0,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0063572570000000007,0.0065751200000000003,1.7700000000000001e-07,0.012932554000000002,3462,2393,1069,0.000226944,0.0075899340000000004,0.00039414200000000005,0.0047630960000000005,0.00084954700000000008,0.013823663000000002,0.999,1,99652.931563928272,0.99999999999999956,0.003920181,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00056179999999999999,1,2.5390000000000003e-05,0.10000000000000001,nan,0.00050565300000000001,true,ka,ears_small,best,0,1676,1676,0.0044831100000000002,0.013581978000000001,0.065493925000000008,0.083559013000000001,0.999,0.99999999974679044,0,2.5233071220070701e-05,reflex,0,0,1676,4069,2393,0.00022325100000000002,0.017023458000000002,0.19234865700000001,0.20959536600000001,0.999,0.99999999979463994,0,2.0464731448733599e-05,4069,254,3815,5.1216515114278689,0.00014071147456377488,0.0042908300629921261,0.57255498999999999,1.089870836,true,4069,254,3815,0.999,0.99901467184700543,0,98.19083906114588,1.6646008700000001,0.0015087360000000001,5.5394000000000005e-05,254,0.00017026000000000001,0.0014072150000000001,0.00019541800000000002,0.0039919109999999999,2.1938000000000002e-05,0.0057867420000000001,254,1.9751697840000002,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_6400cm/robustness_20cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0062036810000000008,64,0.20000000000000001,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0063850910000000007,0.0065164390000000006,1.7100000000000001e-07,0.012901701000000002,3462,2393,1069,0.00022267500000000001,0.0076248530000000009,0.00039057000000000002,0.0047712120000000004,0.00084660000000000009,0.013855910000000001,0.999,1,99652.931563928272,0.99999999999999956,0.0039311170000000005,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00055655400000000001,1,2.4456000000000001e-05,0.10000000000000001,nan,0.00050482000000000001,true,ka,ears_small,best,0,1676,1676,0.0045457980000000002,0.28546960300000002,0.075583837000000043,0.36559923800000005,0.999,0.99999673241809461,0,0.3256241162060528,reflex,0,0,1676,4069,2393,0.0010533160000000001,0.38422181300000002,0.12893178599999999,0.51420691500000004,0.999,0.99999999981069621,0,1.886467258294638e-05,4069,312,3757,4.4910297370361265,0.00011923657458835095,0.0037544776538461543,0.48517362200000003,1.1713970280000001,true,4069,312,3757,0.999,0.99900675055481591,0,98.980219050117952,1.6585510810000001,0.0015515380000000001,7.7440000000000007e-06,312,0.00016153900000000001,0.0015518630000000001,0.00019724400000000001,0.0052809950000000001,2.5564000000000001e-05,0.007217205,312,2.5557466060000005,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_6400cm/robustness_80cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0061668580000000008,64,0.80000000000000004,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0062575870000000002,0.0065011310000000003,1.8700000000000002e-07,0.012758905000000001,3462,2393,1069,0.00022000400000000002,0.0075711550000000004,0.00039889200000000003,0.0048484330000000001,0.000822019,0.013860503,0.999,1,99652.931563928272,0.99999999999999956,0.0039612370000000003,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00054542000000000002,1,2.4519e-05,0.10000000000000001,nan,0.00049230600000000008,true,ka,ears_small,best,0,1676,1676,0.0045344880000000006,0.95694214700000002,0.073483336000000121,1.0349599710000001,0.999,0.99982603062523401,0,17.336558208862233,reflex,0,0,1676,4069,2393,0.0010494580000000001,1.307739414,0.12623205000000004,1.4350209220000001,0.999,0.99986150020791142,0,13.801910311445369,4069,383,3686,3.9732120914229538,0.00010211758024084543,0.0031728929843342041,0.41551643400000005,1.2152180130000001,true,4069,383,3686,0.999,0.99900293846011778,0,99.360105462432244,1.6325017430000002,0.0016005680000000001,2.6905000000000001e-05,383,0.00018939100000000002,0.001770628,0.00021655700000000001,0.0071038400000000002,3.2605999999999999e-05,0.0093130219999999989,383,4.1197481979999999,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_6400cm/robustness_10cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0061585260000000001,64,0.10000000000000001,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0064437570000000005,0.0065504230000000005,1.7600000000000001e-07,0.012994356,3462,2393,1069,0.00022729200000000001,0.0076260820000000002,0.00039590000000000003,0.0047900930000000005,0.00087156800000000008,0.013910934999999999,0.999,1,99652.931563928272,0.99999999999999956,0.0040667310000000005,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00055392400000000002,1,2.6945e-05,0.10000000000000001,nan,0.00050047500000000001,true,ka,ears_small,best,0,1676,1676,0.0045160579999999999,0.159529739,0.077217546000000026,0.24126334300000002,0.999,0.99999999952731189,0,4.7104756491808596e-05,reflex,0,0,1676,4069,2393,0.0010549540000000001,0.21750311700000002,0.17062111499999999,0.38917918600000001,0.999,0.99999999965210351,0,3.4668902926501526e-05,4069,298,3771,4.742442860653723,0.0001280900135168346,0.0038823285906040275,0.52119826499999999,1.1569339200000002,true,4069,298,3771,0.999,0.99901201806510909,0,98.455296207024873,1.680299956,0.001615745,4.9302000000000003e-05,298,0.00015834100000000002,0.0015255400000000001,0.00016343900000000001,0.0048648390000000001,2.1002e-05,0.0067331610000000005,298,2.3283574960000002,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_9600cm/robustness_40cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0062058140000000005,96,0.40000000000000002,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0063940080000000005,0.0066327320000000006,1.7100000000000001e-07,0.013026911000000002,3462,2393,1069,0.00023021600000000002,0.0075837800000000009,0.00040526700000000001,0.0047378850000000007,0.00081483200000000003,0.013771980000000001,0.999,1,99652.931563928272,0.99999999999999956,0.003965171,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00055644500000000003,1,2.4227e-05,0.10000000000000001,nan,0.00048584000000000002,true,ka,ears_small,best,0,1676,1676,0.0044520890000000002,0.56998572600000008,0.085381230999999946,0.65981904600000008,0.999,0.99997230049155073,0,2.7603372216161235,reflex,0,0,1676,4069,2393,0.0010539150000000001,0.77117544700000007,0.14219177800000005,0.91442114000000008,0.999,0.99999035949295478,0,0.96070478943400384,4069,322,3747,4.9142295404276233,0.00014402221848119933,0.0042464204347826091,0.58602640700000008,1.36734738,true,4069,322,3747,0.999,0.99901144863136482,0,98.512041949007184,1.9556664670000001,0.001671114,1.483e-05,322,0.00017816300000000001,0.001565779,8.5744000000000011e-05,0.0055193799999999999,1.0530000000000001e-05,0.0073595959999999995,322,3.54745518,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_9600cm/robustness_160cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0063691220000000005,96,1.6000000000000001,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.006528725,0.0065267320000000004,1.7800000000000001e-07,0.013055634999999999,3462,2393,1069,0.00022122900000000001,0.0076719920000000007,0.00039670900000000003,0.0048147100000000007,0.0008410440000000001,0.013945684000000002,0.999,1,99652.931563928272,0.99999999999999956,0.0039144640000000003,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00054779399999999999,1,2.5192000000000002e-05,0.10000000000000001,nan,0.00049261800000000001,true,ka,ears_small,best,0,1676,1676,0.0044541320000000004,1.8411294200000001,0.086611712999999924,1.9321952650000001,0.999,0.99854666851185137,0.00045333148814863389,144.8287434207711,reflex,0,0,1676,4069,2393,0.0010753140000000002,2.6863587780000002,0.15816268500000019,2.8455967770000004,0.999,0.99899307211619592,6.9278838040753854e-06,100.34331555868553,4069,3005,1064,4.0722536249692798,0.00010982643425903172,0.0012871264685524128,0.44688376100000005,3.8678150380000003,true,4069,3005,1064,0.999,0.99899307203522869,6.9279647713083037e-06,100.34332362730902,4.3169055720000005,0.0045922020000000001,3.6745000000000001e-05,3005,0.0008836060000000001,0.012038451,0.00057920900000000002,0.30643475400000003,0.00053195200000000003,0.32046797200000005,3005,9.1122155070000019,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_9600cm/robustness_0cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0062379610000000002,96,0,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0063291170000000004,0.0066565940000000001,1.8400000000000001e-07,0.012985895000000001,3462,2393,1069,0.00023187200000000002,0.0075265760000000001,0.00048218500000000005,0.0047712660000000006,0.00082619700000000009,0.013838096000000001,0.999,1,99652.931563928272,0.99999999999999956,0.0040466010000000004,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00057010800000000005,1,2.6241000000000002e-05,0.10000000000000001,nan,0.00049898300000000004,true,ka,ears_small,best,0,1676,1676,0.004505958,0.014561572,0.076108913,0.095176442999999999,0.999,0.99999999974907106,0,2.5005810720524881e-05,reflex,0,0,1676,4069,2393,0.00022429700000000001,0.018229112000000002,0.23755504099999999,0.25600845,0.999,0.99999999979435084,0,2.0493539491855935e-05,4069,246,3823,6.0324404030474321,0.00018617421651511429,0.0053753020772357727,0.75754288700000005,1.322324311,true,4069,246,3823,0.999,0.99901922561484269,0,97.737042746219288,2.082457657,0.001613272,5.4532000000000006e-05,246,0.00016830300000000002,0.0013633200000000001,0.000182826,0.0038218120000000004,2.0145000000000001e-05,0.0055564060000000007,246,2.451245154,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
/home/jm/git/ciirc/mission-planning/visis-planner/experiments/AGP/data/extra/cha03_smoothed/radius_9600cm/robustness_20cm/ka_reflex--filter--sample_arc_edges_angle_nan--sample_arc_edges_dist_2.0943951024--robustness_angle_nan--robustness_dist_0.15707963268--it_001.json,cha03_smoothed,"""/home/jm/git/ciirc/mission-planning/visis-planner/visis/../data/polymap-data/iron-harvest_e1-0.1_ir1-0.2_dr1-0.2_ir2-0.01_e2-0.1/cha03_smoothed/cha03_smoothed""",1,0.0062506190000000007,96,0.20000000000000001,nan,0.15707963268,nan,2.0943951024,0,CDT,1,false,0.0063749790000000002,0.0066711780000000007,1.85e-07,0.013046342000000001,3462,2393,1069,0.000232971,0.0076758850000000003,0.00039548900000000001,0.0047155320000000006,0.000821633,0.013841510000000003,0.999,1,99652.931563928272,0.99999999999999956,0.003946087,0.10000000000000001,nan,0.10000000055879354,42.998000240314752,96,0.00055055600000000001,1,2.5366000000000001e-05,0.10000000000000001,nan,0.00051416100000000007,true,ka,ears_small,best,0,1676,1676,0.0044842229999999999,0.31233155600000001,0.093340387999999996,0.41015616700000002,0.999,0.99999673246899357,0,0.32561904397887087,reflex,0,0,1676,4069,2393,0.0010592540000000001,0.42114494600000002,0.17589505500000002,0.59809925500000005,0.999,0.99999999981965926,0,1.7971486541721447e-05,4069,296,3773,5.2231506512656676,0.00015591764807077905,0.004579426547297297,0.63442891000000001,1.355510258,true,4069,296,3773,0.999,0.99900815682858868,0,98.840079745995695,1.9922206490000001,0.0016214250000000001,4.2745000000000005e-05,296,0.00015154800000000002,0.0014533910000000001,0.00016309300000000001,0.0047257200000000001,2.1124e-05,0.0065148760000000002,296,3.018019056,ka+reflex,-1.0,1,1,ka+reflex-f-b,ka,fb
